sub-population,Independnet ,All ,True cluster,2 clusters ,3 clusters 
1,39,45,64,78,62
2,32,9,15,10,36
3,39,21,44,56,66
4,44,46,38,24,50
5,35,44,63,73,50
6,28,42,57,56,30
7,31,44,60,76,50
8,26,32,39,40,62
9,21,30,42,3,47
10,38,48,46,40,18
11,74,74,92,77,91
12,70,76,93,84,92
13,79,90,95,91,94
14,77,74,59,55,53
15,73,76,61,90,69
16,60,86,95,86,94
17,35,88,85,86,85
18,60,93,76,85,72
19,81,57,90,69,88
20,39,77,82,68,82
21,61,66,51,52,52
22,55,73,80,82,78
23,54,63,68,43,74
24,64,72,73,54,72
25,78,72,67,85,93
26,54,51,26,68,28
27,21,20,13,2,29
28,43,40,41,17,3
29,57,64,71,86,50
30,25,61,65,42,14
