sub-population,Independnet ,All ,True cluster,2 clusters ,3 clusters 
1,84,91,96,99,98
2,75,42,73,77,90
3,77,65,92,97,96
4,86,92,90,91,96
5,78,90,94,98,94
6,66,88,94,97,86
7,67,88,92,98,94
8,65,81,94,97,97
9,67,82,93,47,94
10,80,91,90,95,73
11,98,100,100,100,100
12,100,100,100,100,100
13,100,100,100,100,100
14,100,100,100,100,100
15,100,100,100,100,100
16,96,100,100,100,100
17,83,100,100,100,100
18,99,100,100,100,100
19,100,99,100,100,100
20,90,100,100,100,100
21,97,98,98,98,99
22,95,100,100,100,100
23,91,99,100,99,100
24,98,100,100,100,100
25,100,100,100,100,100
26,97,97,91,99,95
27,83,85,86,53,94
28,93,97,98,94,78
29,95,98,99,100,98
30,87,100,100,99,97
